CID,CRPName,Party
N00041765,"Demartini, Frank",R
N00041479,"Demasi, Chase",R
N00033449,"Demings, Val",D
N00043755,"Denaro, Jeffory W.",R
N00043186,"deNeufville, Peter",R
N00031593,"Denham, Jeff",R
N00003534,"Dennerll, Norbert",D
N00042063,"Denney, Audrey",D
N00043203,"Denning, Richard",R
N00042199,"Dent, Mark",D
N00041992,"Depizzo, Chris",R
N00042046,"Desai, Chintan",D
N00034746,"DeSantis, Ron",R
N00030709,"Desaulnier, Mark",D
N00042954,"Desjadon, Michael",R
N00030957,"Desjarlais, Scott",R
N00042121,"Deters, Brian",D
N00031317,"Deutch, Ted",D
N00043434,"Devine, Bill",R
N00036077,"Devine, John",I
N00041159,"Devito, Michael Jr",D
N00039160,"DeWeese, Calvin",L
N00042133,"Dewitt, Justin",D
N00042090,"Diangelo, Craig",R
N00042770,"Diaz, Minerva Dr",R
N00025337,"Diaz-Balart, Mario",R
N00042345,"Diegel, Christian",R
N00041035,"Diehl, Geoff",R
N00041175,"Diemand, Larry",D
N00042800,"Diffendal, Jennifer",D
N00042118,"Diganvker, Jitendra",R
N00043544,"Dightman, Douglas",R
N00042989,"Dikeman, Neal",L
N00043184,"Dilks, Paul",R
N00004010,"Dillard, Godfrey J",D
N00042059,"Dilley, Brenden",R
N00042364,"Dillingham, Thomas",R
N00001065,"Dillon, James J",3
N00043545,"Dillon, Patrick",3
N00041847,"DiMasi, Elaine",D
N00042908,"Ding, Eric",D
N00040934,"Dinge, Dennis",D
N00036149,"Dingell, Debbie",D
N00001428,"DiNicola, Ron",D
N00041855,"DiPizio, Rosanne",R
N00043937,"Diroma, Scott",L
N00042777,"DiSanto, Delina",D
N00042085,"Doane, Raymon",L
N00042998,"Dodson, David",R
N00006023,"Doggett, Lloyd",D
N00034876,"Dolgos, Stephen",R
N00040723,"Domanik, Darlene",D
N00041133,"Donahue, Alicia",D
N00042664,"Donaldson, Scott",D
N00042505,"Donkervoet, Alex",R
N00026586,"Donnelly, Joe",D
N00039380,"Donnelly, Tim",R
N00036928,"Donovan, Dan",R
N00043757,"Donovan, Patrick",R
N00042826,"Dopp, David",R
N00039508,"Dosev, Cris",R
N00041637,"Dotson, Howard",D
N00042459,"Doty, Sally",R
N00043214,"Douglas, Amanda",D
N00042124,"Douglas, Dion A",D
N00040772,"Dove, Jeff",R
N00043497,"Dowling, Sandra Elaine Dr",R
N00036501,"Downing, Ryan",R
N00041283,"Downing, Troy",R
N00041755,"Doyle, Marge",D
N00001373,"Doyle, Mike",D
N00040028,"Drake, Frank",D
N00043080,"Dransfield, Jeff",D
N00040820,"Drew, Danny",D
N00025241,"Driessen, Ken",I
N00036938,"Driskell, Gretchen",D
N00041108,"Drummer, Demond",D
N00042242,"Dubberly, Shannon",R
N00027577,"Duck, Andrew",D
N00041309,"Duenas, Angelica",3
N00043060,"Duerden, Gregory C.",3
N00031022,"Duerr, James M",I
N00030967,"Duffy, Sean P",R
N00036763,"Dugas, Lee",D
N00040901,"Dugdale, Sean",D
N00041361,"Dunaway, Kelli",D
N00029768,"Dunbar, Cynthia",R
N00042926,"Duncan, Chris",L
N00041752,"Duncan, Dennis",D
N00030752,"Duncan, Jeff",R
N00040762,"Duncan, John",D
N00042693,"Dunham, Gregory P",R
N00043095,"Dunkley, Jonathan",D
N00043306,"Dunn, Aubrey",L
N00042722,"Dunn, Lloyd",I
N00041943,"Dunn, Marvin",D
N00042655,"Dunn, Morgan",R
N00037442,"Dunn, Neal",R
N00043374,"Dunson, Gregory",R
N00043419,"DuPont, Rich",R
N00042173,"Durham, Thomas",D
N00041635,"Duterte, Edwin",R
N00042038,"Earl, Angelica",D
N00042841,"Eason, Donald Jr",R
N00040926,"Eastman, Kara",D
N00042687,"Ebben, Bill",D
N00041652,"Ebel, Jon",D
N00042897,"Eble, Julia",D
N00030273,"Eckhart, Don",R
N00042639,"Eddy, Chuck",R
N00042251,"Eden, Madeline",D
N00037655,"Edom, Jeremy Lee",I
N00036508,"Edwards, Adrienne",D
N00043375,"Edwards, Dejuan",R
N00040927,"Edwards, Eddie",R
N00041865,"Edwards, Greg",D
N00042172,"Edwards, Jasen Lemar",I
N00040939,"Edwards, Mickey",D
N00040688,"Edwards, Ragin",D
N00041938,"Edwards, Roger",R
N00035313,"Eggman, Michael",D
N00041323,"Ehr, Phil",D
N00042498,"Eichelberger, John",R
N00041356,"Eichholz, Rich",D
N00041439,"Eisen, Michael",I
N00042671,"Eisner, Gil",I
N00042062,"Elbinger, Lewis",3
N00042439,"Elborn, Martin",R
N00043509,"Elder, Patrick J.",3
N00043288,"Elgin, Timothy",3
N00042952,"Eliason, Eric R",3
N00042422,"Elleson, John",R
N00042080,"Ellinger, Michael",D
N00040922,"Ellis, Kathryn",D
N00042830,"Ellis, Roland",D
N00036527,"Ellison, Allen",D
N00042036,"Ellison, Brian",L
N00028257,"Ellison, Keith",D
N00041100,"Ellyson, Daniel",R
N00042243,"Ellzey, Jake",R
N00042644,"Elsasser, Kurt",R
N00043829,"Elworth, Mark Jr",3
N00042005,"Emert, Jason",R
N00043566,"Emery, Stephen",D
N00040937,"Emig, Zach",D
N00035440,"Emmer, Tom",R
N00041096,"Enderlin, Chuck",D
N00039783,"Endriss, Donald",I
N00042733,"Engebretson, Margaret",D
N00001003,"Engel, Eliot L",D
N00001895,"English, George",D
N00042480,"Enoch, Vanessa",D
N00043171,"Enstad, Chad",3
N00043250,"Epley, James",R
N00040981,"Epstein, Dan",D
N00041968,"Epstein, Lena",R
N00041282,"Epstein, Lena",R
N00041132,"Erdmann, Jeff",D
N00027434,"Ericson, Cris",I
N00041702,"Escobar, Veronica",D
N00007335,"Eshoo, Anna",D
N00034549,"Espaillat, Adriano",D
N00041308,"Espinoza, Brian",L
N00003295,"Espy, Mike",D
N00040712,"Estes, Ron",R
N00043598,"Estes, Ron M",R
N00033217,"Esty, Elizabeth",D
N00026894,"Evans, Brian",R
N00038450,"Evans, Dwight",D
N00042444,"Evans, J David",R
N00041489,"Evans, Jermaine",R
N00034408,"Evans, Jim",R
N00043349,"Evans, Michael Ted",D
N00043000,"Evans, Paul",R
N00040452,"Everhard, Janet",D
N00042734,"Ewert, Brian",D
N00039112,"Eze, Nnabu",R
N00037154,"Faas, Souraya",R
N00037449,"Faddis, Sam",R
N00041470,"Fagan, Linsey",D
N00042039,"Fagg, Russ",R
N00043891,"Fagin, Marc",3
N00043051,"Fairbanks, Chadwick III",R
N00043886,"Fallin, David",3
N00043322,"Fandl, Jeff",D
N00042579,"Faraggi, Eshel",D
N00041377,"Farahi, Hermon",D
N00035705,"Fareed, Justin",R
N00031672,"Farenthold, Blake",R
N00043800,"Faris, Stephen",I
N00042767,"Farley, Chele",R
N00043311,"Farley, Philena Irene",3
N00043830,"Farmer, Paul",I
N00040643,"Farrell-Smith, Kelan John",D
N00037288,"Faso, John",R
N00043397,"Faust, David",D
N00040509,"Faust, Gregory",L
N00036891,"Fawell, Bill",R
N00041358,"Feehan, Daniel",D
N00007364,"Feinstein, Dianne",D
N00041198,"Fenenbock, Dori",D
N00040380,"Fenichel, Steven",3
N00043259,"Fenty, Shion",R
N00036272,"Ferguson, Dana",D
N00039090,"Ferguson, Drew",R
N00034845,"Ferguson, Jennifer",I
N00042434,"Ferkinhoff, Tom",R
N00028367,"Fernald, Colleen",I
N00041064,"Ferrara, Steve",R
N00041787,"Ferrer, Gabe",R
N00041899,"Fershee, Kendra",D
N00040751,"Few, Sheri",R
N00041083,"Field, Betty",D
N00041486,"Field, John",R
N00040708,"Fields, Vernon",R
N00040958,"Fienning, Ted",R
N00041222,"Fife, Paul",R
N00031141,"Fincher, Steve",R
N00040888,"Finkenauer, Abby",D
N00043533,"Finley, Christopher",D
N00041525,"Finley, Russ",R
N00043032,"Fiocchi, Sam",R
N00041695,"Fischer, Bruce",D
N00033443,"Fischer, Deb",R
N00043358,"Fisher, Eric",R
N00041264,"Fisher, Jason E",D
N00041208,"Fisher, Will",D
N00041462,"Fitch, Gregory",I
N00043964,"Fitzgerald, Glade G",I
N00032186,"Fitzgerald, John",R
N00040902,"Fitzgerald, Steve",R
N00042464,"Fitzherbert, Brian",R
N00040935,"Fitzherbert, Ron",D
N00038779,"Fitzpatrick, Brian",R
N00034572,"Flaccavento, Anthony",D
N00009573,"Flake, Jeff",R
N00040724,"Flanagan, Peggy",D
N00043415,"Flanagan, Tricia",I
N00041044,"Flanders, Bob",R
N00043661,"Fleenor, Jessee Carlton",D
N00030815,"Fleischmann, Chuck",R
N00041071,"Fleming, Daniel",D
N00043657,"Fleming, Natalie M",I
N00041194,"Fletcher, Lizzie",D
N00031656,"Flinn, George S Jr",R
N00031545,"Flores, Bill",R
N00041520,"Flores, John Walter",D
N00042116,"Flores, Sol",D
N00040609,"Flores, Yolie",D
N00040740,"Flynn, Brian",D
N00038609,"Flynn, Sean",R
N00043192,"Fogarty, Patrick",D
N00043675,"Fontes, Pat",D
N00025345,"Fonua, Stoney",R
N00043117,"Forbes, Stephen",D
N00042091,"Ford, Kim R",D
N00041482,"Forde, Brian",D
N00043365,"Foreman, John",I
N00026631,"Fortenberry, Jeff",R
N00029139,"Foster, Bill",D
N00043101,"Foster, Jack E",I
N00043017,"Foster, Steven",D
N00042524,"Foster, Vanessa Edwards",D
N00040841,"Foster, Will",D
N00042344,"Fowler, Che",D
N00026166,"Foxx, Virginia",R
N00043429,"Francis, Jim",D
N00042534,"Franco, Chris",D
N00017298,"Franco, Gary",I
N00041306,"Franco, Ricardo",D
N00042405,"Francois, Vennia",R
N00040830,"Frank, Alexis",D
N00040995,"Frank, Ben",D
N00002893,"Frankel, Lois J",D
N00041822,"Franklin, George",D
N00032367,"Franklin, W Benjamin",R
N00006423,"Franks, Trent",R
N00035625,"Fraser, Aaron",D
N00042015,"Fraser, Diane",D
N00043341,"Fredland, E.C.",3
N00043119,"Fredrich, John Karl",I
N00035223,"Freeman, April",D
N00037408,"Freeman, Mark",R
N00031294,"Freilich, Daniel",D
N00042367,"Freitas, Nick",R
N00000684,"Frelinghuysen, Rodney",R
N00042594,"Frenette, Kyle",D
N00041564,"Frerick, Austin",D
N00040908,"Frick, Bill",D
N00041965,"Friday, Steven",D
N00006375,"Friedbaum, Jeremy",R
N00041860,"Friedenberg, Marc",D
N00041237,"Friedman, Alison",D
N00036803,"Fritz, Dennis",D
N00043565,"Frost, Nadine",L
N00030490,"Fudge, Marcia L",D
N00043135,"Fuentes, Louis",R
N00039997,"Fuentes, Talia",D
N00040012,"Fuhrman, Scott",D
N00043157,"Fukumoto, Beth",D
N00041335,"Fulcher, Russ",R
N00041508,"Fulford, Jonathan",D
N00042559,"Fuller, Virginia",R
N00041596,"Fullington, Brad",R
N00043249,"Furay, Guy",3
N00042399,"Furstenberg, Lori",D
N00042789,"Gabbard, John",R
N00033281,"Gabbard, Tulsi",D
N00039503,"Gaetz, Matt",R
N00042244,"Gagliardi, Deborah",R
N00041500,"Gaither, Kevin",D
N00040907,"Galbraith, Allison",D
N00040940,"Galbraith, John Michael",D
N00043416,"Gale, Neal",3
N00039330,"Gallagher, Mike",R
N00041169,"Gallant, Rick",D
N00036097,"Gallego, Ruben",D
N00042620,"Gallegos, Alex",R
N00042560,"Gallo, Louis",I
N00042372,"Galvin, Alyse",D
N00042990,"Ganjoo, Shalesh",L
N00030856,"Garamendi, John",D
N00043055,"Garbett, Jan",3
N00038832,"Garcia, Adrian",D
N00038831,"Garcia, Dominique",D
N00041601,"Garcia, Enrique",D
N00042114,"Garcia, Jesus",D
N00042690,"Garcia, Joshua M",D
N00041245,"Garcia, Ramon Hyron",D
N00042284,"Garcia, Roel",D
N00042282,"Garcia, Sylvia",D
N00042255,"Garcia-Ureste, Alia",R
N00041144,"Gardner, Jonah",D
N00043190,"Garfield, Daniel G.",3
N00043299,"Garland, Jerone",D
N00036353,"Garrett, Janet",D
N00038847,"Garrett, Tom",R
N00040914,"Garrod, Eponine",D
N00040985,"Garves, Ben",D
N00042271,"Garza, Mauro",R
N00040658,"Garza, Melissa ""Sharkie""",D
N00041350,"Gaskins, Samuel",D
N00042391,"Gaspar, Kristin",R
N00042481,"Gasper, Theresa",D
N00040774,"Gasque, Dorothy",D
N00042525,"Gassman, Eddie",R
N00036398,"Gaughan, Lawrence",D
N00043036,"Gayot, Lutchi",R
N00041926,"Gazala, Sarah",R
N00026987,"Gearheart, Marty",R
N00040931,"Gebbia, Jack",D
N00028200,"Genovese, Sal",D
N00041026,"Gentile, Dominic",R
N00043175,"Gentry, Dillon",R
N00004333,"George, Gary",D
N00041397,"George, John",D
N00042652,"Geppert, Katy",D
N00040959,"Geren, Mary",D
N00043882,"Germalic, James",I
N00042021,"Germanotta, Juliet Dita",D
N00040874,"Germanson, Larry",D
N00032675,"Gerrard, Theodore",3
N00041456,"Gershon, Perry",D
N00042877,"Ghee, Antony",R
N00041887,"Ghorbani, Shireen",D
N00043286,"Ghosh, Rash Bihari",I
N00041284,"Ghumman, Usman",I
N00040733,"Gianforte, Greg",R
N00041191,"Gianukos, Nikolus Dimitry",D
N00041286,"Gibbons, Mike",R
N00031128,"Gibbs, Bob",R
N00042881,"Gibbs, David",R
N00042996,"Gibson, Joey",R
N00036084,"Gibson, Mark",D
N00042137,"Gifford, Rufus",D
N00043973,"Gilbert, Edward Jr",I
N00038195,"Gildersleeve, Tim",I
N00036982,"Giles, Dave",R
N00026221,"Gill, David",D
N00027658,"Gillibrand, Kirsten",D
N00043149,"Gilmer, Robin",L
N00040916,"Gilmore, Michael",D
N00042999,"Gilmore, Shawn",3
N00042888,"Gilpin, Tim",D
N00043367,"Gipson, Fred",D
N00043287,"Girgis, Michael Fahmy",I
N00043140,"Glassman, Mary",D
N00036919,"Glenn, Darryl",R
N00042631,"Glisson, Vickie",R
N00034065,"Gluck, George",3
N00042794,"Goda, Brett",R
N00040945,"Godfrey, Aaron",D
N00036129,"Godfrey, Curtis",D
N00043934,"Goetz, Wendy",3
N00026148,"Gohmert, Louis B Jr",R
N00042660,"Goins, Clarence",R
N00036203,"Goldberg, Brian",R
N00041387,"Golden, Ian",D
N00041668,"Golden, Jared",D
N00043713,"Golder, Leonard H",D
N00039145,"Goldstein, Beverly A.",R
N00043114,"Goldstein, Michael",I
N00041849,"Gomes, Tim",D
N00040597,"Gomez, Jimmy",D
N00041690,"Gonzalez, Anthony",R
N00043524,"Gonzalez, Jason D.",R
N00042807,"Gonzalez, Julio",R
N00040886,"Gonzalez, Kristen Rosen",D
N00038840,"Gonzalez, Rey",R
N00041948,"Gonzalez, Richard",D
N00038703,"Gonzalez, Travis",D
N00038809,"Gonzalez, Vicente",D
N00042237,"Gooden, Lance",R
N00009154,"Goodlatte, Bob",R
N00042589,"Goodman, Shira Ms.",D
N00042699,"Goodrich, Grant",D
N00042129,"Goodwin, David",I
N00043923,"Goodwin, Kathy",3
N00036342,"Goossen, David",I
N00042573,"Gosai, Dushyant",D
N00030771,"Gosar, Paul",R
N00036944,"Gottheimer, Josh",D
N00030880,"Gowdy, Trey",R
N00043045,"Graben, Eric Knox",D
N00040721,"Grady, Paul",I
N00013685,"Graeser, Ron",3
N00035823,"Graf, James",D
N00040255,"Graham, Devin",I
N00042078,"Graham, John",I
N00042662,"Graham, Samaria",I
N00036533,"Grandanette, Joe",I
N00008799,"Granger, Kay",R
N00041303,"Grant, Andrew",R
N00036123,"Grant, Kevin",R
N00041897,"Grassie, Bill",I
N00042645,"Graves, Christopher",D
N00036135,"Graves, Garret",R
N00013323,"Graves, Sam",R
N00030788,"Graves, Tom",R
N00040685,"Grawert, Keith",R
N00042853,"Gray, Aida",D
N00040681,"Gray, Bob",R
N00039052,"Gray, Jim",D
N00039153,"Gray, Phil",L
N00028418,"Grayson, Alan",D
N00037444,"Grayson, Dena",D
N00036140,"Graziani, John",R
N00026686,"Green, Al",D
N00042893,"Green, Bill",D
N00005870,"Green, Gene",D
N00042010,"Green, James",R
N00041873,"Green, Mark",R
N00041809,"Green, Rick",R
N00043162,"Green, Theodore David",D
N00041759,"Greenaway, Diedra",D
N00041063,"Greene, Joan",D
N00039715,"Greene, Michael",R
N00025812,"Greenfield, Steven",3
N00041334,"Greenfield, Theresa",D
N00037192,"Gregory, DuWayne",D
N00031977,"Gregory, Jeff",R
N00041969,"Greimel, Tim",D
N00043048,"Gressmann, Gerhard",R
N00013092,"Griesey, Darin",D
N00042411,"Griffin, Bradley",R
N00036628,"Griffin, Calvin",I
N00042176,"Griffin, Clayburn",R
N00000551,"Griffin, Jim",R
N00042555,"Griffin, Michelle",R
N00042814,"Griffin, Steven",D
N00043040,"Griffith, George",R
N00032029,"Griffith, Morgan",R
N00043510,"Griggs, David R.",L
N00042979,"Grigorian, Christina",R
N00025284,"Grijalva, Raul M",D
N00042410,"Grimes, Demetries",D
N00031401,"Grimm, Michael",R
N00040743,"Grisez, Brandon",R
N00043166,"Grohman, Marty",I
N00041597,"Gross, Ken",R
N00042875,"Grossman, Seth",R
N00036409,"Grothman, Glenn S",R
N00043742,"Groves, David Robert",D
N00042933,"Grubbs, Mackenzie",L
N00042191,"Gruber, Jason Bradley",R
N00043529,"Grunau, Jeffrey",I
N00012707,"Grundmann, Don",3
N00034146,"Grunwald, John",R
N00042698,"Grusenmeyer, Michael",R
N00042458,"Guest, Michael Patrick",R
N00032386,"Guild, Tom",D
N00040720,"Guillory, Josh",R
N00041097,"Guillory, Ryan",D
N00039067,"Gumina, Tony",I
N00040905,"Gunderson, Scott",R
N00042921,"Gunnels, Patrick",L
N00041774,"Gunning, Jim",R
N00042152,"Gupta, Suneel",D
N00029675,"Guthrie, Brett",R
N00004874,"Gutierrez, Luis V",D
N00035944,"Guyette, Matthew",D
N00041797,"Haaf, Grace",D
N00040933,"Haaland, Debra",D
N00013232,"Haas, Bill",D
N00041966,"Haberman, Daniel",D
N00041951,"Hackett, Pat",D
N00042302,"Hader, Shannon",D
N00043495,"Hafner, Carol",D
N00043225,"Hafner, Eric",D
N00040946,"Hagan, Christina",R
N00042602,"Hagan, Mallory",D
N00043308,"Hagan, Vic",L
N00031390,"Hagedorn, Jim",R
N00043827,"Hageman, Troy",L
N00042267,"Hagen, Foster",R
N00043262,"Hagerman, Janice ""Byrd""",D
N00043402,"Hagg, Brian G",R
N00041941,"Haggman, Matt",D
N00041487,"Haggman, Matthew W",D
N00042040,"Hahn, Pat",R
N00042677,"Haji, Abdulkadir",R
N00043042,"Halcovage, George",R
N00043460,"Hale, Christopher",D
N00033277,"Hall, Isadore",D
N00005852,"Hall, Jerry",R
N00042146,"Hall, Matthew",R
N00041800,"Hall, Mel",D
N00042130,"Hall, Seth",D
N00040250,"Halverson, Mark",3
N00042195,"Halverstadt, Jon",R
N00035461,"Halvorson, Art",R
N00040867,"Hamadanchy, Kia",D
N00043459,"Hamblin, Hank",R
N00042717,"Hamilton, Dan",R
N00028141,"Hamilton, Eddie",R
N00043928,"Hamlin, Paul",3
N00041281,"Hammer, Alex",I
N00043458,"Hammond, Larry Guy",R
N00041376,"Hammond, Scott",R
N00039923,"Hanania, Jason",I
N00043133,"Hancock, Joshua L",L
N00035477,"Handel, Karen",R
N00042088,"Hanlon, Karl",D
N00041266,"Hansen, Michael",D
N00042277,"Hansen, West",D
N00041678,"Hanson, Ben",D
N00042109,"Hanson, Cyndi",R
N00041236,"Hanson, Dave",D
N00043658,"Hanson, Justin",I
N00030240,"Hanson, Tom",R
N00041173,"Harbaugh, Ken",D
N00042924,"Harber, Jason Allen",L
N00040853,"Harder, Josh",D
N00036070,"Hardy, Charlie",R
N00035628,"Hardy, Cresent",R
N00042390,"Harkey, Diane",R
N00032364,"Harlow, David",L
N00042414,"Harmon, Patrick",R
N00029323,"Harmon, Wayne E",R
N00029632,"Harper, Gregg",R
N00043422,"Harper, Sean",R
N00040619,"Harrell, Sally",D
N00043491,"Harrell, Vic",R
N00029147,"Harris, Andy",R
N00043826,"Harris, Christopher Lee",I
N00043881,"Harris, Frank",L
N00043348,"Harris, Irving",3
N00042870,"Harris, Katherine Moore",I
N00043289,"Harris, Kerri",D
N00035491,"Harris, Mark",R
N00042516,"Harris, Matt",D
N00041275,"Harris, Pat",D
N00041584,"Harris, Tamara",D
N00029521,"Harris, Thomas E",R
N00040947,"Harris, Tim",R
N00042017,"Harrison, Adam",I
N00042509,"Harrison, Kevin",R
N00040775,"Harrison, Peter",D
N00043603,"Harrison, Tom",R
N00041864,"Hart, Kristopher",R
N00041375,"Hart, Richard",D
N00042169,"Hartford, Andrew",D
N00040900,"Hartley, Michael",D
N00037296,"Hartman, Christina",D
N00040744,"Hartman, Darrell",R
N00041152,"Hartman, Katherine",D
N00042346,"Hartson, Alison",D
N00031005,"Hartzler, Vicky",R
N00036743,"Harvey, Floyd",R
N00043610,"Hash, Martin",D
N00041666,"Hashimi, Nadia",D
N00041654,"Haskell, Jason",R
N00043602,"Hassan, Muad",D
N00042510,"Hassell, Mel",R
N00042073,"Hassett, Doug",R
N00002884,"Hastings, Alcee L",D
N00009869,"Hatch, Orrin G",R
N00043346,"Hatfield, Kenneth",D
N00041122,"Haulmark, Chris",D
N00042226,"Havens, Jonathan",R
N00043702,"Haverty, Charles",I
N00043627,"Hawkins, Matt C",R
N00041620,"Hawley, Josh",R
N00043421,"Hayes, Jahana",D
N00042297,"Haywood, Chaz",R
N00043334,"Hazel, Robert",D
N00041645,"Hazel, Shane",R
N00041963,"Hearsey, Chris",D
N00031557,"Heck, Dennis",D
N00039721,"Heck, Tom",R
N00041333,"Heckroth, Thomas",D
N00041581,"Heenan, John",D
N00043534,"Heffernan, Peter",D
N00041411,"Hegar, MJ",D
N00042764,"Heidel, Jack",R
N00041230,"Heineman, Aaron",3
N00043628,"Heines, Matthew D",R
N00029835,"Heinrich, Martin",D
N00033979,"Heinz, Matt",D
N00041967,"Heise, Kurt",R
N00033782,"Heitkamp, Heidi",D
N00042466,"Heitner, Jesse Andrew",D
N00027522,"Heller, Dean",R
N00043549,"Helm, Travis",D
N00041000,"Helmer, Daniel",D
N00043700,"Helsham, Robert C",R
N00041216,"Henderson, Deidre",R
N00041796,"Henderson, Nick",R
N00041032,"Henderson, Terry",R
N00041373,"Hendricks, Michael",R
N00042665,"Hendrickson, Duwayne",R
N00042502,"Hendrickson, George",L
N00042609,"Heng, Elizabeth",R
N00041587,"Henry, Brendon",D
N00041604,"Henry, David Dean",D
N00041025,"Henry, Ed",R
N00041641,"Henry, James Francis Mr.",D
N00043034,"Henry, William O",D
N00024922,"Hensarling, Jeb",R
N00040885,"Hepburn, Michael",D
N00026505,"Hermanson, Barry",3
N00040829,"Hern, Kevin",R
N00040679,"Hernandez, Alexander",I
N00042928,"Hernandez, Benjamin",I
N00041125,"Hernandez, Carlos",R
N00041533,"Hernandez, Christian",D
N00040613,"Hernandez, Sara",D
N00041291,"Hernandez, Sema",D
N00041454,"Herrell, Yvette",R
N00034218,"Herrod, Chris",R
N00041396,"Herschel, Judy",D
N00043580,"Herschfus, Marc",R
N00041170,"Hertzler, John G",I
N00042669,"Heslin, Alison",D
N00041155,"Hewitt, Martin",R
N00032243,"Hice, Jody",R
N00041392,"Hickey, Adam",3
N00042183,"Hicks, Sander",D
N00041413,"Hicks, Tom",D
N00038615,"Hidalgo, Juan",R
N00027060,"Higgins, Brian M",D
N00039953,"Higgins, Clay",R
N00040807,"Hildebrand, David",D
N00040739,"Hildebrandt, Madeline",D
N00043540,"Hildt, Robert",3
N00043170,"Hile, Brian",D
N00043168,"Hill Knott, Kimberly",D
N00043570,"Hill, Dean",I
N00035792,"Hill, French",R
N00040676,"Hill, Judson",R
N00040644,"Hill, Katie",D
N00040875,"Hill, Owen",R
N00042857,"Hill, Ryan",D
N00035503,"Hill, Shak",R
N00032983,"Hill, Sid",I
N00026625,"Hill, Tracella Lou O'Hara",3
N00043035,"Hillgardner, Thomas J",3
N00042852,"Hilliard, Jerry",D
N00029070,"Himes, Jim",D
N00041298,"Hinchman, Clayton",R
N00041778,"Hinson, Yvonne Hayes",D
N00028139,"Hirono, Mazie K",D
N00040921,"Hoagenson, Renee",D
N00041816,"Hoar, Will",I
N00042044,"Hobson, Rich",R
N00036902,"Hodge, Charles Junior",I
N00043701,"Hodgkiss, Michael R",R
N00037451,"Hoeber, Amie",R
N00042896,"Hoeffel, Joseph",D
N00042490,"Hofer, Richard",I
N00043917,"Hoffman, Madelyn",3
N00042995,"Hoffman, Steve",3
N00039802,"Hogan, Dan",L
N00043399,"Hogan, John",D
N00038692,"Holbrook, Mark",R
N00042654,"Holcomb, Benjamin",R
N00040847,"Holcombe, Jessica",D
N00041328,"Holden, David",D
N00036798,"Holder, Bryan",L
N00033399,"Holding, George",R
N00041883,"Holguin, Eric",D
N00003754,"Holland, George",D
N00042563,"Holland, Joe",R
N00043350,"Holland, Matthew",3
N00043974,"Hollen, Rusty",L
N00038429,"Hollingsworth, Trey",R
N00043748,"Holtz, John",R
N00041626,"Holtzclaw, Bill",R
N00040769,"Homer, Adam",D
N00042125,"Hood, Brandon",D
N00042949,"Hope, Jason",L
N00042719,"Hopkins, Bill",D
N00042356,"Hopkins, Michael Starr",D
N00043052,"Hopkins, Randy",D
N00041394,"Horn, Kendra",D
N00042765,"Horn, Mitchell",D
N00042096,"Hornback, Phil",D
N00041742,"Hornberger, Ben",R
N00039563,"Horne, Fred",R
N00041677,"Horney, Margot",D
N00034658,"Horning, Andy",R
N00033638,"Horsford, Steven",D
N00038616,"Horst, John",R
N00041143,"Horton, Kyle",D
N00036091,"Hosta, John",D
N00042520,"Hostetler, Robert Steven",I
N00040949,"Houlahan, Chrissy",D
N00042354,"Housley, Karin",R
N00042977,"Howard, Albert Binyahmin",R
N00042821,"Howard, William Scott",L
N00040954,"Howe, Alan",D
N00002271,"Howe, Barbara",L
N00043343,"Howell, Alexander",L
N00038644,"Howland, Amanda",D
N00043111,"Howze, Ted",R
N00001821,"Hoyer, Steny H",D
N00041699,"Hoyos, Renee",D
N00041713,"Hubbard, Garry",D
N00033630,"Hudson, Richard",R
N00027649,"Huelskamp, Tim",R
N00038603,"Huerta, Emilio",D
N00042384,"Huff, Bob",R
N00043962,"Huffman, George III",3
N00033030,"Huffman, Jared",D
N00041649,"Huffman, Ryan",D
N00042582,"Huffman, Scott",D
N00040998,"Huffstetler, Roger Dean",D
N00039308,"Hughes, Dave",R
N00042357,"Hughes, Steven David",R
N00042460,"Hughes, Whit",R
N00043614,"Hughes-Hageman, Jack",R
N00040766,"Hughlett, Awbrey",D
N00042986,"Hugin, Bob",R
N00043715,"Hugo, John",R
N00030673,"Huizenga, Bill",R
N00041707,"Hulings, Jay",D
N00039820,"Hullum, David",D
N00041058,"Hulsey, Natashia Burch",D
N00031104,"Hultgren, Randy",R
N00041792,"Hunt, Joe",R
N00042095,"Hunter, Chris",D
N00029258,"Hunter, Duncan D",R
N00025387,"Hunter, Greg",D
N00041894,"Hunziker, Robert",D
N00042696,"Hupp, Ryan",D
N00031417,"Hurd, Will",R
N00043193,"Hurley, Jesse Douglas",D
N00040812,"Hurt, Mark",R
N00043522,"Hutchins, Scott",3
N00043629,"Hutchison, Susan",R
N00042981,"Hyatt, Forest",R
N00043298,"Hyde-Smith, Cindy",R
N00038788,"Hyman, Mal",D
N00042185,"Idleman, Sara",D
N00005963,"Idrogo, Michael",L
N00043612,"Ilonummi, Kari Olavi",R
N00042276,"Imhoff, Josh",D
N00041945,"Ing, Kaniela",D
N00043153,"Ingham, Robert",D
N00043177,"Ingram, Clifton Jr",L
N00040994,"Ingwell, Carl",D
N00037398,"Invictus, Augustus Sol",R
N00041468,"Iovino, Pamela M",D
N00042259,"Isaac, Jason",R
N00041743,"Isner, Tabitha",D
N00007017,"Issa, Darrell",R
N00042827,"Ivanovich, Roseann",R
N00013477,"Iverson, Gregg",D
